Ref,Qty,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,MF_Name,MF_PN,S1_Name,S1_PN,Type
R7,1,RLC-0603-SMD,Wickerlib,RES-10-1%-1/10W-0603,wickerlib,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ3EKF10R0V+7+WW,Panasonic,ERJ-3EKF10R0V,Digikey,P10.0HCT-ND,
R9,1,RLC-0603-SMD,Wickerlib,RES-1.02K-1%-1/10W-0603,wickerlib,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,Yageo,RC0603FR-071K02L,Digikey,311-1.02KHRCT-ND,
S1,1,SWITCH-OMRON-MOMENTARY-SMD-B3U-1000P,Wickerlib,SWITCH-MOMENT-SPST-NO-0.05A-12V-SMT-B3U-1000P,wickerlib,http://www.omron.com/ecb/products/pdf/en-b3u.pdf,Omron,B3U-1000P,Digikey,SW1020CT-ND,
U1 U2,2,SOIC-14-3.9x8.7MM-P1.27MM,Wickerlib,IC-OPAMP-QUAD-MCP6004-SOIC14,wickerlib,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en011705,Microchip,MCP6004T-I/SL,Digikey,MCP6004T-I/SLCT-ND,
U10,1,WSON-10-1EP,Wickerlib,IC-REG-BUCK-BOOST-ADJ-2A-TPS63060-10WSON,wickerlib,http://www.ti.com/lit/ds/symlink/tps63060.pdf,TI,TPS63060DSCR,Digikey,296-30204-1-ND,
U11,1,SOT-23-3,Wickerlib,IC-REG-LDO-3.3V-0.25A-MCP1703-SOT23A-3,wickerlib,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en530937,Microchip,MCP1703T-3302E/CB,Digikey,MCP1703T-3302E/CBCT-ND,
U3,1,SOIC-14-3.9x8.7MM-P1.27MM,Wickerlib,IC-OPAMP-QUAD-TLV274-SOIC14,wickerlib,http://www.ti.com/lit/ds/symlink/tlv272.pdf,TI,TLV274CDR,Digikey,296-39258-1-ND,
U4,1,SOT-23-5,Wickerlib,IC-OPAMP-MCP6001-SOT23-5,wickerlib,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en011705,Microchip,MCP6001T-I/OT,Digikey,MCP6001T-I/OTCT-ND,
U5,1,MSOP-10-3x3MM-P0.5MM,Wickerlib,IC-ADC-16BIT-SPI-ADS1118-10MSOP,wickerlib,http://www.ti.com/lit/ds/symlink/txb0104.pdf,TI,ADS1118IDGSR,Digikey,296-38850-1-ND,
U6,1,TQFP-48_7x7mm_Pitch0.5mm,Wickerlib,IC-MCU-ATSAMD21G18A-TQFP48-CUSTOM1,wickerlib,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en590209,Atmel,ATSAMD21G18A-AUT,Digikey,ATSAMD21G18A-AUTCT-ND,
U7,1,SOIC-8-3.9x4.9MM-P1.27MM,Wickerlib,IC-EEPROM-1MBIT-400KHZ-24AA1025-SOIC8,wickerlib,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en553487,Microchip,24AA1025-I/SN,Digikey,24AA1025-I/SN-ND,
U8,1,SOIC-8-3.9x4.9MM-P1.27MM,Wickerlib,IC-RTC-MCP7940N-SOIC8,wickerlib,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en553487,Microchip,MCP7940N-E/SN,Digikey,MCP7940N-E/SN-ND,
U9,1,QFN-20-1EP-4x4MM_P0.5MM,Wickerlib,IC-LI-ION-CONTROLLER-MCP73871-QFN20,wickerlib,http://ww1.microchip.com/downloads/en/DeviceDoc/20002090C.pdf,Microchip,MCP73871T-2CCI/ML,Digikey,MCP73871T-2CCI/MLCT-ND,
W1,1,HOLE-PLATED-40MIL,Wickerlib,TEST_1P,wickerlib,,,,,,
X1,1,CRYSTAL-CTS-4SMD,Wickerlib,CRYSTAL-16MHZ-18PF-40OHM-CTS-4SMD,wickerlib,http://www.ctscorp.com/wp-content/uploads/2015/11/008-0260-0.pdf,CTS,406I35D16M00000,Digikey,CTX1206CT-ND,
X2,1,CRYSTAL-HC49-TH,Wickerlib,CRYSTAL-32.768KHZ-7PF-CFS206-TH,wickerlib,http://www.ecsxtal.com/store/pdf/hc-49usx.pdf,Citizen Finedevice,CFS-20632768DZYB,Digikey,300-8842-ND,
